Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1581.954441486599
FDW14,OUT017,1457.9148852255917
NCN55,OUT010,573.1156219419261
FDQ58,OUT017,2508.8151879719417
FDY38,OUT027,5838.516388353527
FDH56,OUT046,1957.3263036726453
FDL48,OUT018,729.0446141182117
FDC48,OUT027,2187.962013716286
FDN33,OUT045,1516.3932070050387
FDA36,OUT017,3052.189588502586
FDT44,OUT017,1962.5445222507071
FDQ56,OUT045,1450.4235198079432
NCC54,OUT019,573.4507762075722
FDU11,OUT049,2013.3821513409916
DRL59,OUT013,854.8166518556228
FDM24,OUT049,2487.3300525318664
FDI57,OUT045,3099.79671351209
DRC12,OUT018,3047.58508458369
NCM42,OUT027,2907.535814185922
FDA46,OUT010,504.7619804571678
FDA31,OUT013,2860.4041229470504
NCJ31,OUT035,3896.4885943345857
FDG52,OUT046,728.079377434323
NCL19,OUT019,285.74114178113837
FDS10,OUT035,3005.2798849967717
FDX22,OUT010,564.106580889548
NCF19,OUT035,725.7715182693676
NCE06,OUT046,2566.580049767553
DRC27,OUT046,3908.220307647448
FDE21,OUT035,1952.6685425846997
NCR42,OUT019,132.00976197617072
FDX51,OUT018,3049.6275386528177
NCR06,OUT018,661.1402876131672
FDU31,OUT027,5838.516388353527
FDU59,OUT017,2579.027463741618
FDR03,OUT027,5838.516388353527
FDS49,OUT027,2136.7855527346833
FDD48,OUT010,268.59737929632934
NCF18,OUT017,3050.1471344334586
NCD43,OUT027,2849.613793192265
NCD54,OUT018,2112.2306117296343
FDY19,OUT010,269.1852243943706
NCY54,OUT017,2860.4041229470504
NCL19,OUT018,2472.8107866785576
FDP23,OUT010,565.7271161398012
FDC26,OUT013,1715.2695454596135
FDR14,OUT010,132.00976197617072
NCS41,OUT035,3052.189588502586
FDF41,OUT035,3908.317419109919
FDU34,OUT046,2019.1717049402969
DRH11,OUT046,960.1192109858765
FDM03,OUT013,1579.4456292554285
FDS31,OUT017,3011.7738765920312
FDJ20,OUT017,2013.3821513409916
FDV44,OUT027,5169.371117964097
FDG02,OUT049,3054.75936997866
FDA09,OUT013,2954.0019762761
FDT04,OUT013,711.3712270165388
FDL58,OUT019,571.3006426403729
FDE52,OUT045,1487.110007087963
FDW12,OUT035,2472.8107866785576
FDL51,OUT017,3668.534546301099
NCY42,OUT027,2985.2595820383203
FDR07,OUT017,1518.9463284813232
FDN40,OUT045,2495.1322108660115
FDB35,OUT027,2722.3902688537632
FDA22,OUT017,2579.027463741618
NCL06,OUT046,4060.3895746547933
FDI35,OUT013,3011.7738765920312
NCW42,OUT045,3775.3229647937933
NCX06,OUT049,2957.138005771567
FDC37,OUT027,2874.930607885866
FDZ14,OUT018,2013.3821513409916
DRG49,OUT049,3896.401183978958
NCG06,OUT045,4025.9589701529594
DRC36,OUT045,2860.4041229470504
FDV21,OUT019,281.0085607048397
FDB53,OUT046,2482.003651458923
DRP47,OUT019,569.1542734917717
FDA14,OUT013,2477.8078124759213
DRC24,OUT035,2495.1322108660115
FDW21,OUT018,1545.516724042374
NCH29,OUT046,1518.9463284813232
FDU58,OUT013,3052.189588502586
FDY27,OUT017,2873.305903258349
FDV56,OUT035,1602.1063311259597
FDT59,OUT046,3840.739950822793
FDB23,OUT046,3803.113744670887
FDR49,OUT045,725.1193243781681
FDB03,OUT010,573.8432552196936
FDN39,OUT045,2579.027463741618
FDX02,OUT027,5838.516388353527
FDQ16,OUT027,2868.5836132047325
FDU35,OUT018,1522.7697125696661
NCT29,OUT013,2013.3821513409916
FDZ27,OUT046,728.079377434323
FDN57,OUT017,2024.372841838338
FDA03,OUT018,2477.8078124759213
FDZ36,OUT045,3052.189588502586
NCU05,OUT013,1456.8128115089723
FDT39,OUT018,2487.3300525318664
FDK60,OUT017,1518.9463284813232
FDZ25,OUT017,2763.489423554273
FDG12,OUT046,2013.3821513409916
DRB01,OUT019,499.020398725461
NCC43,OUT027,5838.516388353527
FDX13,OUT019,565.33463712768
FDM22,OUT049,863.8827851327582
FDJ03,OUT027,1064.1369502144978
FDU14,OUT018,3771.5678052602198
FDB33,OUT010,381.8459500162578
FDP27,OUT046,3052.189588502586
FDO38,OUT010,160.4222718099172
FDE28,OUT027,5838.516388353527
FDO27,OUT035,1514.359727909792
DRL23,OUT027,2868.5836132047325
FDS28,OUT046,960.1192109858765
FDX24,OUT013,1528.8825666914156
FDZ02,OUT035,1516.3932070050387
FDL46,OUT045,1957.3263036726453
FDS60,OUT027,4732.915824256615
NCO06,OUT017,658.7409165128156
FDO16,OUT035,1450.4235198079432
FDC60,OUT049,1460.4242007106225
FDA48,OUT018,3518.512654242327
FDZ36,OUT027,5161.482110370574
FDK27,OUT045,2013.3821513409916
FDW23,OUT018,659.5400367009171
FDM14,OUT018,1675.1987733414157
FDM14,OUT013,1581.954441486599
FDW60,OUT018,2870.7438534085813
FDE21,OUT013,1952.6685425846997
NCM42,OUT035,1604.4124761889502
FDY59,OUT010,229.5673589648776
DRI49,OUT049,1366.5755970423647
FDT28,OUT019,366.4648795043465
FDQ22,OUT018,659.5400367009171
FDR60,OUT049,1301.9424683894756
FDC50,OUT019,234.9792271548217
FDV24,OUT013,2487.3300525318664
DRF48,OUT010,491.73958264926944
FDQ47,OUT046,665.0453396052675
DRN36,OUT049,1518.9463284813232
NCY06,OUT035,2021.9354698827997
FDE52,OUT035,1485.3784798853185
NCB54,OUT045,2021.9354698827997
NCF31,OUT035,2495.1322108660115
FDJ08,OUT027,5184.92189689838
NCC07,OUT017,1574.8993532428628
NCD19,OUT027,1239.64447636377
FDL46,OUT049,1982.6062169065624
FDM20,OUT045,3948.0476190988707
NCI06,OUT010,460.40952679141964
DRM11,OUT035,4070.6762291113573
NCH07,OUT018,2537.218630637652
FDS23,OUT013,2024.372841838338
FDO49,OUT018,723.3954341497983
FDS35,OUT049,1057.050880056294
DRK39,OUT045,1409.1722796096915
DRI39,OUT049,922.9184749230793
FDV04,OUT017,2537.218630637652
NCN14,OUT035,3047.3543906841746
FDH08,OUT013,3816.759885606872
FDS20,OUT046,3052.189588502586
FDV40,OUT049,1103.4667104419239
FDZ48,OUT010,260.68084677912265
FDS24,OUT027,2612.657034963426
FDK44,OUT049,2860.9314503539963
FDS48,OUT045,2482.003651458923
FDK26,OUT010,496.84448022106415
FDD23,OUT045,3052.189588502586
NCH54,OUT017,2566.580049767553
NCP14,OUT010,241.66798081712332
FDM60,OUT010,132.00976197617072
FDV24,OUT017,2487.3300525318664
FDH08,OUT018,3593.2283727475424
FDS12,OUT027,2978.0046228291135
FDR39,OUT027,4838.311442767623
FDP12,OUT027,1008.78566210991
DRF60,OUT027,5838.516388353527
FDC09,OUT035,1572.9344535388236
FDF50,OUT018,3057.127864817542
FDG28,OUT035,3946.0901270215395
NCE19,OUT017,916.6515675576123
NCM53,OUT010,249.44737130211294
NCN18,OUT049,1698.4144466501668
FDF32,OUT035,3116.238470005081
FDF11,OUT013,3909.0487499181095
DRI59,OUT049,3811.3872338719398
NCG54,OUT035,2763.489423554273
FDM44,OUT046,1562.5915858310836
FDT57,OUT018,3652.441166012192
FDV24,OUT046,2487.3300525318664
FDI50,OUT019,569.6311398434805
FDS09,OUT035,751.5211076989709
NCC31,OUT027,4132.103894440115
FDQ07,OUT019,573.4507762075722
FDC22,OUT017,3052.189588502586
FDZ56,OUT046,2763.489423554273
FDZ40,OUT019,132.00976197617072
FDS46,OUT027,2925.77875978662
DRD24,OUT045,2026.9142620626733
FDV45,OUT017,3050.1471344334586
FDL26,OUT045,2511.282238442079
FDA56,OUT018,2013.3821513409916
FDN27,OUT046,1962.5445222507071
FDM20,OUT049,3928.420597779691
FDO16,OUT017,1407.4428657555386
FDL03,OUT035,3050.1471344334586
FDE58,OUT046,1957.3263036726453
FDI02,OUT027,2920.1554471912027
NCC55,OUT019,132.00976197617072
FDR03,OUT018,3320.2581274331333
FDB14,OUT017,1503.8913760741352
FDR45,OUT013,3917.8852410226395
NCN07,OUT017,2024.372841838338
FDM51,OUT019,248.43447141458628
FDT52,OUT027,5838.516388353527
FDL26,OUT046,2500.2413852763448
NCZ42,OUT046,3908.43364274055
DRI47,OUT019,367.2962225079054
FDW40,OUT013,2026.9142620626733
FDN34,OUT046,2760.90180550724
FDS01,OUT035,2894.9672812672397
NCG55,OUT045,1952.6685425846997
FDC11,OUT035,1456.905022330729
FDX35,OUT018,3559.591158528365
NCB06,OUT046,2554.620122665353
FDR09,OUT019,569.1542734917717
FDC53,OUT017,1518.9463284813232
FDY45,OUT013,4005.2241401764118
FDA22,OUT010,382.8356239615003
FDE02,OUT035,1514.359727909792
FDW21,OUT045,1547.9034615903709
FDV34,OUT046,1127.7751472991438
FDS59,OUT049,1604.4124761889502
NCW17,OUT017,2021.9354698827997
NCK54,OUT046,1957.3263036726453
FDG17,OUT019,569.6311398434805
FDG35,OUT017,2858.361668877923
FDD08,OUT010,132.00976197617072
NCO07,OUT017,3670.811462601509
FDJ10,OUT010,278.4583602793454
FDW36,OUT017,1572.9344535388236
FDW21,OUT010,240.5596550522235
FDY19,OUT017,1962.5445222507071
DRE03,OUT013,776.7612144640575
NCC55,OUT049,664.312510474058
FDH52,OUT010,133.93716551993043
FDO09,OUT017,4065.063591830873
FDU43,OUT045,3920.9506081363984
FDX09,OUT010,426.0766066005909
FDH40,OUT019,205.835977357725
FDW58,OUT017,1572.9344535388236
FDC47,OUT017,3797.853230673343
NCR41,OUT035,1514.359727909792
DRG49,OUT035,3916.3476295212163
FDC52,OUT027,4102.001284815884
FDY13,OUT046,1130.4428217965774
FDY35,OUT013,716.636072574019
FDI35,OUT017,3028.6362817999484
NCU18,OUT049,2026.9142620626733
FDY33,OUT018,2537.218630637652
FDC15,OUT027,4207.508278489235
FDU01,OUT049,3052.716915909532
NCU42,OUT046,2763.489423554273
NCV29,OUT018,2870.7438534085813
NCY30,OUT017,3050.1471344334586
FDQ46,OUT049,1715.2695454596135
FDG58,OUT027,4132.103894440115
FDK33,OUT017,3668.4682531305425
NCD07,OUT045,1947.6874395144841
NCX29,OUT027,4035.597026099653
NCT42,OUT013,2482.003651458923
DRN59,OUT035,724.3406724897438
FDI44,OUT035,1302.9851521653095
FDA45,OUT049,2873.833230665296
FDP31,OUT045,1046.4563524057357
FDY01,OUT046,1947.6874395144841
FDT09,OUT018,2024.372841838338
DRH03,OUT027,2814.2686010379402
FDA36,OUT018,3049.6275386528177
NCF31,OUT017,2500.2413852763448
FDG14,OUT049,2487.3300525318664
FDG28,OUT027,5838.516388353527
FDU14,OUT049,4008.9252025023497
FDY47,OUT019,284.5715448464776
FDI56,OUT049,1487.110007087963
DRD01,OUT013,1017.3131380622528
FDM22,OUT046,956.7831245110448
FDH33,OUT013,712.9714779287887
DRZ24,OUT013,1965.074224297565
NCQ38,OUT046,1572.9344535388236
FDO16,OUT027,2431.4131897949487
FDU07,OUT027,4082.4440690750343
NCB07,OUT013,3050.1471344334586
FDU48,OUT045,2024.372841838338
NCM43,OUT045,2579.027463741618
FDR31,OUT010,366.0523825903728
DRK49,OUT018,661.1402876131672
NCI30,OUT010,573.1156219419261
DRD60,OUT017,3011.7738765920312
NCG19,OUT046,3843.187632622572
FDH12,OUT035,1572.9344535388236
FDM32,OUT035,1503.8913760741352
FDM27,OUT035,2513.587504172143
NCU53,OUT027,4271.629671737654
NCQ18,OUT046,1522.7697125696661
FDS10,OUT013,2940.1190772983555
FDB33,OUT027,4207.508278489235
FDI12,OUT013,1511.7939692903728
NCW42,OUT013,3759.8131209625817
NCC06,OUT018,2021.9354698827997
FDW02,OUT017,2019.1717049402969
NCD43,OUT017,1572.9344535388236
FDM57,OUT018,1417.7201917083491
FDA58,OUT017,3881.762842346144
FDK56,OUT046,3052.189588502586
FDP52,OUT045,3845.684810064057
FDW20,OUT018,2013.3821513409916
FDS52,OUT049,1541.0338868319411
NCT29,OUT018,2007.3830051766636
NCL54,OUT013,2866.108769157382
FDC05,OUT045,3059.689914667311
FDF34,OUT035,3056.3136308926596
FDP03,OUT027,2978.0046228291135
FDD32,OUT010,200.96919521350773
FDZ10,OUT045,2021.9354698827997
FDZ40,OUT035,916.6515675576123
FDD51,OUT018,662.989335499974
NCY30,OUT019,435.22389399118526
FDP58,OUT017,3681.6294048223263
FDV49,OUT017,4064.0322553623973
FDY24,OUT019,132.00976197617072
NCO55,OUT017,1581.954441486599
FDR13,OUT017,1957.3263036726453
FDS51,OUT017,1004.5513153189831
FDP26,OUT045,1572.9344535388236
NCB54,OUT027,2985.2595820383203
FDF32,OUT017,3054.2711768235317
FDN31,OUT018,3049.6275386528177
DRM48,OUT017,658.7409165128156
FDN20,OUT049,2760.669305416371
DRL01,OUT046,3827.647716632896
FDV56,OUT049,1581.954441486599
DRH13,OUT027,2868.5836132047325
FDA03,OUT017,2477.8078124759213
FDF47,OUT027,5838.516388353527
FDX32,OUT046,2477.8078124759213
FDX57,OUT049,1516.3932070050387
NCA30,OUT045,3050.1471344334586
FDO49,OUT013,778.8262765959662
FDL04,OUT019,249.27310829445923
DRM48,OUT035,661.5755528287555
FDR16,OUT013,3653.0131780052657
NCC19,OUT018,3049.6275386528177
NCE42,OUT045,3888.5544571371847
FDY24,OUT017,916.6515675576123
FDH19,OUT049,2860.9314503539963
FDJ46,OUT013,2860.4041229470504
FDN45,OUT010,569.5467525038931
FDY08,OUT035,2024.372841838338
FDZ37,OUT035,1457.9148852255917
NCT30,OUT045,726.5501701577917
DRY23,OUT018,661.1402876131672
NCZ30,OUT018,2013.3821513409916
FDC44,OUT018,1939.8950952905402
FDB45,OUT035,1572.9344535388236
FDY04,OUT013,2568.3383667575895
FDM27,OUT046,2537.218630637652
FDZ43,OUT017,3917.1723994362083
FDT39,OUT019,369.45250226975566
NCC06,OUT019,280.56190146263793
FDL15,OUT027,4132.103894440115
FDL57,OUT017,4033.73223244467
FDU08,OUT046,1520.9791792904548
FDK40,OUT017,4083.116027934271
FDQ12,OUT010,565.7271161398012
FDS48,OUT017,2487.3300525318664
FDP09,OUT045,3668.4682531305425
FDW21,OUT049,1522.7697125696661
FDY25,OUT035,3011.7738765920312
DRE13,OUT017,1448.69410595379
FDV43,OUT019,132.00976197617072
FDD22,OUT045,1715.2695454596135
FDM46,OUT019,231.239078753785
NCO30,OUT010,488.11760609330565
FDM25,OUT046,2860.4041229470504
NCN41,OUT049,2013.3821513409916
FDU24,OUT045,1508.1638115111089
FDZ50,OUT046,3052.189588502586
FDP45,OUT013,3978.5927440645487
NCM54,OUT045,2019.1717049402969
FDW10,OUT019,423.7016975292105
FDP20,OUT017,2021.9354698827997
FDK32,OUT046,2487.3300525318664
FDN52,OUT049,1466.606012912086
FDM58,OUT045,1698.4144466501668
FDZ46,OUT027,2912.08861692658
NCA18,OUT018,1957.3263036726453
FDD35,OUT046,2013.3821513409916
NCK31,OUT035,726.2300704657382
FDI40,OUT027,2849.613793192265
FDT50,OUT019,235.4026116846217
NCT06,OUT046,2579.027463741618
FDT31,OUT035,3050.1471344334586
FDT45,OUT049,863.8827851327582
FDT13,OUT045,3052.189588502586
FDO50,OUT045,1488.6006964456756
NCU18,OUT010,278.4865751398544
NCR54,OUT049,3052.716915909532
NCO18,OUT018,2870.7438534085813
FDU09,OUT045,918.3568245223423
FDT13,OUT018,3049.6275386528177
FDE09,OUT046,1715.2695454596135
NCK53,OUT019,248.43447141458628
FDG45,OUT049,3657.714869697143
DRH15,OUT035,674.5996495365231
FDO21,OUT019,569.6311398434805
FDD14,OUT027,5161.482110370574
FDC09,OUT046,1572.9344535388236
FDH45,OUT027,1011.1850332102613
FDV32,OUT046,1111.4384909722733
FDG12,OUT035,1982.6062169065624
FDS32,OUT013,2024.372841838338
NCL55,OUT018,3785.3030732673838
DRE01,OUT035,3907.484418021912
DRE15,OUT049,1309.0646235457402
NCL42,OUT045,3927.716769625705
FDP31,OUT013,1197.6755664101397
FDN33,OUT018,1508.1638115111089
FDZ59,OUT046,2579.027463741618
FDE45,OUT010,431.02004194545896
FDJ07,OUT013,1965.074224297565
FDQ45,OUT018,3049.6275386528177
FDM33,OUT027,5838.516388353527
FDO15,OUT010,148.61998533185522
FDM46,OUT013,1528.8825666914156
FDR03,OUT045,3460.5192953956703
FDY49,OUT018,2668.6688530673337
FDQ60,OUT045,1982.6062169065624
FDW10,OUT049,2860.9314503539963
FDO51,OUT049,675.7274348320436
FDJ40,OUT018,1599.6153466365315
FDS20,OUT018,3046.8347949035337
FDU45,OUT013,1815.9809944560443
FDV02,OUT035,2763.489423554273
FDN09,OUT046,3930.2943256286067
NCM55,OUT027,5161.482110370574
FDN23,OUT018,2472.8107866785576
FDY31,OUT010,367.7364927489018
FDW03,OUT010,241.4443128868263
FDD14,OUT046,3050.1471344334586
FDV23,OUT017,2019.1717049402969
DRI03,OUT045,2860.4041229470504
FDN13,OUT035,1522.7697125696661
FDF45,OUT027,1294.3140665972462
FDU46,OUT035,1457.9148852255917
FDB57,OUT049,3764.16510584253
FDV12,OUT049,1522.7697125696661
FDQ58,OUT013,2487.3300525318664
NCA18,OUT017,1947.6874395144841
FDH52,OUT049,1002.976110163189
FDM24,OUT018,2482.003651458923
NCP43,OUT027,4838.311442767623
NCO18,OUT019,430.50778295310533
FDM32,OUT017,1493.1265350421786
NCL07,OUT017,659.5400367009171
FDK03,OUT013,3986.5700887764024
FDP59,OUT017,1572.9344535388236
FDQ24,OUT049,3988.47676931157
FDQ16,OUT018,1604.4124761889502
FDU44,OUT013,2554.620122665353
FDH28,OUT010,132.00976197617072
FDV28,OUT019,132.00976197617072
FDM22,OUT045,910.2650030707305
FDR56,OUT046,3052.189588502586
FDV39,OUT049,3058.883412368733
FDU37,OUT019,174.71641752642006
FDQ11,OUT010,570.0236188556019
FDX02,OUT045,3780.9327881847375
NCS42,OUT018,1503.8913760741352
FDY57,OUT027,2814.2686010379402
FDB21,OUT049,3893.0495842486057
FDE28,OUT017,3840.9777191156677
FDQ55,OUT017,1939.8950952905402
FDA48,OUT049,3747.0249254206365
FDZ19,OUT045,2860.4041229470504
